kp,ki,kd,test_steps,target_x,target_y,target_z,final_x,final_y,final_z,error_m,error_mm,status
0.8,0.05,0.1,500,0.1,0.15,0.25,0.0938,0.136,0.2249,0.029402,29.402,Failure: Did not meet the accuracy requirement of 10 mm.
2.5,0.1,0.4,500,0.1,0.15,0.25,0.1015,0.1534,0.2561,0.007143,7.143,Success: Met the base accuracy requirement of 10 mm.
4,0.2,1,500,0.1,0.15,0.25,0.1,0.15,0.2495,0.0005,0.5,Success: Met the highest accuracy requirement of 1 mm.
5,0.5,2,500,0.1,0.15,0.25,0.1001,0.1503,0.2505,0.000592,0.592,Success: Met the highest accuracy requirement of 1 mm.
5.0,0.5,2.0,500,0.1,0.15,0.25,0.1001,0.1503,0.2505,0.000592,0.592,Success: Met the highest accuracy requirement of 1 mm.
5.0,0.5,2.0,500,0.1,0.15,0.25,0.1001,0.1503,0.2505,0.000592,0.592,Success: Met the highest accuracy requirement of 1 mm.
5.0,0.5,2.0,500,0.1,0.15,0.25,0.0996,0.1492,0.2494,0.001077,1.077,Success: Met the base accuracy requirement of 10 mm.
5.0,0.5,2.0,500,0.1,0.15,0.25,0.1001,0.1503,0.2505,0.000592,0.592,Success: Met the highest accuracy requirement of 1 mm.
5.0,0.5,2.0,500,0.1,0.15,0.25,0.0997,0.1493,0.2503,0.000819,0.819,Success: Met the highest accuracy requirement of 1 mm.
